SiteName,date,PM2.5,AQI,CO,NO2,O3,SO2,SiteTypes,SiteX,SiteY
八达岭,20160618,33.125,59.70833333,0.4875,55.33333333,74.73913043,5.25,对照点及区域点,115.988,40.365
八达岭,20160329,10.66666667,80.5,0.344444444,20.83333333,69.25,5.791666667,对照点及区域点,115.988,40.365
八达岭,20161006,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20161226,30.16666667,131.375,0.620833333,38.79166667,38,18.25,对照点及区域点,115.988,40.365
八达岭,20161104,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160617,29.16666667,62.25,0.5,47,48.66666667,4.952380952,对照点及区域点,115.988,40.365
八达岭,20160328,31.70833333,54.29166667,0.383333333,32.91666667,64.625,11.29166667,对照点及区域点,115.988,40.365
八达岭,20161027,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20161118,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160320,38.25,67.5,0.591666667,NA,46.29166667,7.375,对照点及区域点,115.988,40.365
八达岭,20160701,9.5,27.125,0.843478261,22.83333333,70.125,3,对照点及区域点,115.988,40.365
八达岭,20161222,14.75,105.2916667,0.366666667,21.45833333,51.13043478,7.083333333,对照点及区域点,115.988,40.365
八达岭,20160410,48.20833333,126.2916667,0.591666667,41.70833333,71.54166667,9.541666667,对照点及区域点,115.988,40.365
八达岭,20161117,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160319,35.91666667,81.91666667,0.641666667,NA,45.75,12.83333333,对照点及区域点,115.988,40.365
八达岭,20160304,209.5,275.125,2.233333333,66.39130435,70.57142857,38.25,对照点及区域点,115.988,40.365
八达岭,20161018,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160326,14.45833333,40.75,0.3875,42.58333333,48.20833333,11.45833333,对照点及区域点,115.988,40.365
八达岭,20160805,92.58333333,134.5833333,0.983333333,52.95833333,88.58333333,2,对照点及区域点,115.988,40.365
八达岭,20160607,50.79166667,79.16666667,1.526315789,58.52173913,79.41666667,2.875,对照点及区域点,115.988,40.365
八达岭,20160402,10.66666667,49.16666667,0.241666667,12.625,68.375,2.666666667,对照点及区域点,115.988,40.365
八达岭,20161017,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160713,24.25,36.125,0.4125,31.16666667,60.95833333,2.75,对照点及区域点,115.988,40.365
八达岭,20160224,15.09090909,36.29166667,0.375,26.58333333,48.04166667,9.083333333,对照点及区域点,115.988,40.365
八达岭,20161007,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160401,45.83333333,170.1666667,0.375,23.16666667,NA,6.666666667,对照点及区域点,115.988,40.365
八达岭,20160628,53.41666667,75.33333333,0.5625,35,69.16666667,2,对照点及区域点,115.988,40.365
八达岭,20160727,28.33333333,49.29166667,0.483333333,27.57142857,98.08333333,3.416666667,对照点及区域点,115.988,40.365
八达岭,20160309,9.083333333,25.27272727,0.2875,16.16666667,58.875,4.166666667,对照点及区域点,115.988,40.365
八达岭,20160705,115.5416667,168.8333333,0.879166667,54.875,119.9583333,2.458333333,对照点及区域点,115.988,40.365
八达岭,20160605,90.29166667,121.7083333,0.825,65.25,145.7916667,8.333333333,对照点及区域点,115.988,40.365
八达岭,20160414,34.23809524,81.77272727,0.3,33.86956522,67.17391304,3.913043478,对照点及区域点,115.988,40.365
八达岭,20160726,21.66666667,36.375,0.4,44.125,90.625,2.375,对照点及区域点,115.988,40.365
八达岭,20160131,12.91666667,40.91666667,0.4,19.33333333,56.25,9.708333333,对照点及区域点,115.988,40.365
八达岭,20161128,NA,NA,NA,NA,NA,NA,对照点及区域点,115.988,40.365
八达岭,20160619,24.77777778,67.5,0.422222222,39.72222222,99.83333333,4.944444444,对照点及区域点,115.988,40.365
八达岭,20160330,22.54545455,48.83333333,0.791666667,35.94736842,95.36363636,8.333333333,对照点及区域点,115.988,40.365
